ICAO,IATA,FAA,Name,Served City,Country,Latitude,Longitude,Category,Rescue and Fire Airport,Deice Info,Deice Not Available
CEQ3,,,Camrose Airport,Camrose,Canada,53.04029846,-112.8160019,,,Error: Expecting value: line 1 column 1 (char 0),
CJW5,,,Russell Airport,Russell,Canada,50.76580048,-101.2949982,AirSprint Inc.: B,,No Deice Mentions Found,
CNP3,,,Arnprior Airport,Arnprior,Canada,45.41360092,-76.36579895,AirSprint Inc.: B,,No Deice Mentions Found,
CYAG,YAG,,Fort Frances Municipal,Fort Frances,Canada,48.6543889,-93.4405778,AirSprint Inc.: A,,No Deice Mentions Found,
CYAM,YAM,,Sault Ste Marie,Sault Ste Marie,Canada,46.485,-84.509444,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types 1 & 4 available at FBO",No
CYAZ,YAZ,,Tofino - Long Beach,Tofino,Canada,49.082222,-125.7725,AirSprint Inc.: B,,"DE-ICE/ANTI-ICE:

- Not Available",Yes
CYBC,YBC,,Baie-Comeau,Baie-Comeau ,Canada,49.1324972,-68.20435,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Unavailable",Yes
CYBD,QBC,,Bella Coola,Bella Coola ,Canada,52.3875,-126.595833,AirSprint Inc.: P,,No Deice Mentions Found,
CYBF,YBY,,Bonnyville,Bonnyville,Canada,54.304775,-110.7412306,AirSprint Inc.: B,,No Deice Mentions Found,
CYBG,YBG,,Bagotville,Saguenay,Canada,48.3305556,-70.9963889,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 available through FBO, 30 min notice required",No
CYBL,YBL,,Campbell River,Campbell River,Canada,49.9520389,-125.27305,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
CYBR,YBR,,Brandon Municipal,Brandon,Canada,49.91,-99.9522694,AirSprint Inc.: A,,No Deice Mentions Found,
CYBW,,,Calgary Springbank,Calgary,Canada,51.1053139,-114.3714889,AirSprint Inc.: A,,"RESTRICTIONS:

•	Winter Weather Restrictions (Deice/Antice not available.) 
•	Wet/Contaminated Runway May Limit Operations

---

DEICE/ANTI-ICE:

•	Not available",Yes
CYBX,YBX,,Lourdes-de-Blanc-Sablon,Lourdes-de-Blanc-Sablon,Canada,51.44205,-57.1861222,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

BX Flight Services
•	Services Available
•	PH: 418-461-2619 or 709-931-2196",No
CYCD,YCD,,Nanaimo,Nanaimo,Canada,49.054444,-123.87,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

DEICE is provided through United Ramp who does Jazz and so on. It is an “engines off” spray and can be done in the ramp where we usually park. (Stand FN2)
- call Apron Parking 250-618-0875 at leat 30 mins priorto set it all up
- Apron Parking will get in touch with one of the handlers and will ask to de-ice us
- Apron Parking doesn't deal with billing for de-icing, we'll have to figure that out with each handler",No
CYCG,YCG,,Castlegar West Kootenay Regional ,Castlegar,Canada,49.296225,-117.6325028,AirSprint Inc.: C,,No Deice Mentions Found,
CYCH,YCH,,Miramichi,Miramichi,Canada,47.0057917,-65.4568056,AirSprint Inc.: A,,"DEICE/ANTI-ICE [05JUN24]:

•	Available at FBO",No
